"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb237720",0.0006275997,1,"No","0.0006275997"
"Zm00001eb168470",0.001383417,1,"No","0.001383417"
"Zm00001eb366320",0.00194197940763152,3,"Yes","0.000331621,0.730573,0.5520753"
"Zm00001eb366330",0.00194197940763152,3,"Yes","0.000331621,0.730573,0.5520753"
"Zm00001eb042420",0.002016157,1,"No","0.002016157"
"Zm00001eb154960",0.002322907,1,"No","0.002322907"
"Zm00001eb215960",0.002383542,1,"No","0.002383542"
"Zm00001eb212230",0.0026507720653417,3,"Yes","0.288681,0.0004502613,0.4085899"
"Zm00001eb282900",0.00279562927894883,2,"Yes","0.8216,0.001421952"
"Zm00001eb186620",0.00308615637384779,3,"Yes","0.0006450863,0.2377822,0.0409149"
"Zm00001eb107040",0.00381021267385262,2,"Yes","0.7641298,0.001907008"
"Zm00001eb106740",0.0043473053240739,5,"Yes","0.01905312,0.002848835,0.2526297,0.04580842,0.2523786"
"Zm00001eb357580",0.00472676567648589,3,"Yes","0.02342249,0.02356775,0.1501036"
"Zm00001eb378690",0.005354138,1,"No","0.005354138"
"Zm00001eb056540",0.00541769903573208,5,"Yes","0.05236858,0.0004967148,0.2730674,0.7061648,0.3341896"
"Zm00001eb165300",0.005570965,1,"No","0.005570965"
"Zm00001eb317860",0.00592971048288982,2,"Yes","0.008074997,0.004489153"
"Zm00001eb336950",0.005977737,1,"No","0.005977737"
"Zm00001eb427290",0.00601213090259045,5,"Yes","0.05280683,0.4021,0.3670096,0.001428418,0.03876275"
"Zm00001eb046350",0.00639096323596822,2,"Yes","0.004900143,0.005792657"
"Zm00001eb333010",0.007270283,1,"No","0.007270283"
"Zm00001eb159560",0.007386034,1,"No","0.007386034"
"Zm00001eb288680",0.00741388176564328,5,"Yes","0.441467,0.4297373,0.5257201,0.0006094155,0.9219829"
"Zm00001eb187080",0.00758605707045612,2,"Yes","0.003802137,0.1827695"
"Zm00001eb419590",0.008014822,1,"No","0.008014822"
"Zm00001eb151600",0.00891242645781043,5,"Yes","0.8772135,0.6173374,0.008104601,0.2642071,0.001614527"
"Zm00001eb095410",0.00893174251245377,3,"Yes","0.001629974,0.296715,0.5119452"
"Zm00001eb034820",0.009037782,1,"No","0.009037782"
"Zm00001eb249950",0.009566865,1,"No","0.009566865"
"Zm00001eb354270",0.0101835895422145,3,"Yes","0.01703113,0.04375252,0.009680182"
"Zm00001eb198320",0.0102502560589552,8,"Yes","0.9202469,0.2328852,0.1399954,0.6438002,0.45385,0.0006299007,0.4047029,0.8891937"
"Zm00001eb315940",0.0102624578089536,4,"Yes","0.02453638,0.09795509,0.02369451,0.9032631"
"Zm00001eb242650",0.01079594,1,"No","0.01079594"
"Zm00001eb096750",0.0108612284566411,3,"Yes","0.001880741,0.3121227,0.869109"
"Zm00001eb431410",0.01142477213981,2,"Yes","0.005744675,0.971781"
"Zm00001eb219260",0.0117315662122884,5,"Yes","0.3874831,0.8995406,0.4944656,0.0009490385,0.09301785"
"Zm00001eb191760",0.0125343099966629,9,"Yes","0.001255587,0.06602739,0.1084066,0.005400007,0.2546322,0.3459079,0.8320902,0.2319084,0.03817817"
"Zm00001eb200770",0.01283105,1,"No","0.01283105"
"Zm00001eb035790",0.0128313,1,"No","0.0128313"
"Zm00001eb430770",0.0130981961169737,4,"Yes","0.2849435,0.01387032,0.006476645,0.8538004"
"Zm00001eb074450",0.0135918241278693,6,"Yes","0.3665818,0.979893,0.04441509,0.03802112,0.006460906,0.7739438"
"Zm00001eb175670",0.0137336274766873,4,"Yes","0.1306927,0.1695339,0.008548275,0.007618982"
"Zm00001eb216320",0.01410309,1,"No","0.01410309"
"Zm00001eb380080",0.0141844664029026,5,"Yes","0.3380507,0.001573349,0.1741869,0.2122176,0.2971964"
"Zm00001eb201340",0.0144259270238905,4,"Yes","0.007585005,0.3141028,0.1012104,0.01901028"
"Zm00001eb165170",0.0145740541037649,4,"Yes","0.3881737,0.7744574,0.1454891,0.002036034"
"Zm00001eb263830",0.01545592,1,"No","0.01545592"
"Zm00001eb144080",0.01612115,1,"No","0.01612115"
"Zm00001eb070050",0.016281072821528,4,"Yes","0.08627018,0.02550104,0.008214161,0.1295356"
"Zm00001eb016090",0.0164088,1,"No","0.0164088"
"Zm00001eb424660",0.0179848772437906,2,"Yes","0.009039675,0.4887316"
"Zm00001eb022700",0.0181121869815418,3,"Yes","0.1273157,0.6403582,0.003186707"
"Zm00001eb122680",0.0188290779796788,5,"Yes","0.02608044,0.03498812,0.5266528,0.3335259,0.03427111"
"Zm00001eb359520",0.01912319,1,"No","0.01912319"
"Zm00001eb094670",0.0191823449812182,2,"Yes","0.009638928,0.7453248"
"Zm00001eb394200",0.0192576265030397,3,"Yes","0.02745331,0.03411716,0.250525"
"Zm00001eb012320",0.01945497,1,"No","0.01945497"
"Zm00001eb068420",0.019522724236849,3,"Yes","0.02868599,0.1884347,0.05993412"
"Zm00001eb325790",0.0196411,1,"No","0.0196411"
"Zm00001eb215930",0.02020778,1,"No","0.02020778"
"Zm00001eb424430",0.02072344,1,"No","0.02072344"
"Zm00001eb066680",0.020942475421394,3,"Yes","0.01578654,0.02542796,0.01439617"
"Zm00001eb322620",0.02144251,1,"No","0.02144251"
"Zm00001eb108100",0.02148036,1,"No","0.02148036"
"Zm00001eb425920",0.02167957,1,"No","0.02167957"
"Zm00001eb159620",0.0219223925079738,2,"Yes","0.8583576,0.01105256"
"Zm00001eb254830",0.02208508,1,"No","0.02208508"
"Zm00001eb248370",0.02212986,1,"No","0.02212986"
"Zm00001eb391380",0.02222512,1,"No","0.02222512"
"Zm00001eb366640",0.0222638037247395,10,"Yes","0.2741839,0.08887361,0.04505818,0.06856709,0.1273859,0.04662459,0.9882054,0.4766186,0.06496824,0.1440521"
"Zm00001eb106650",0.0223505237724595,3,"Yes","0.01147585,0.02856278,0.514352"
"Zm00001eb072560",0.0227995859818705,9,"Yes","0.01106404,0.274535,0.02385079,0.06704707,0.07067238,0.9137641,0.7857317,0.4770581,0.3327244"
"Zm00001eb008850",0.02316536,1,"No","0.02316536"
"Zm00001eb333340",0.0233196866224382,2,"Yes","0.0129817,0.6058749"
"Zm00001eb391130",0.0233495325937677,2,"Yes","0.01355303,0.1120119"
"Zm00001eb363760",0.02496309,1,"No","0.02496309"
"Zm00001eb336730",0.0252918239567765,2,"Yes","0.3267271,0.01287877"
"Zm00001eb081570",0.0255699428512688,3,"Yes","0.2867498,0.03149521,0.006855772"
"Zm00001eb335910",0.0257505731200987,5,"Yes","0.002128385,0.6487201,0.7829983,0.08779555,0.4930157"
"Zm00001eb210320",0.0261162268569574,3,"Yes","0.00468688,0.5793021,0.357952"
"Zm00001eb052250",0.0263939670277723,2,"Yes","0.138551,0.01469549"
"Zm00001eb054940",0.0264740205476311,5,"Yes","0.004288919,0.1002107,0.08246104,0.2220643,0.3530875"
"Zm00001eb341260",0.0268646672311365,3,"Yes","0.03250772,0.05183342,0.007444372"
"Zm00001eb252750",0.0273499213498003,4,"Yes","0.003889795,0.4607045,0.2961999,0.787206"
"Zm00001eb009900",0.0276451508736917,4,"Yes","0.2548021,0.8468085,0.01750192,0.01594852"
"Zm00001eb058290",0.0280860590364638,3,"Yes","0.8145687,0.005026094,0.104308"
"Zm00001eb067110",0.02853192,1,"No","0.02853192"
"Zm00001eb036780",0.02865873,1,"No","0.02865873"
"Zm00001eb283520",0.02877519,1,"No","0.02877519"
"Zm00001eb310810",0.0293691397355198,4,"Yes","0.004310018,0.6855254,0.7156523,0.6211837"
"Zm00001eb104140",0.02956482,1,"No","0.02956482"
"Zm00001eb252370",0.029733,1,"No","0.029733"
"Zm00001eb068580",0.02990846,1,"No","0.02990846"
"Zm00001eb375380",0.0321272429643229,6,"Yes","0.1269735,0.002635726,0.657396,0.1634011,0.7642709,0.5354509"
"Zm00001eb105610",0.0323458125321039,5,"Yes","0.09175794,0.01211824,0.2937155,0.05580111,0.5912887"
"Zm00001eb395400",0.0325243885664245,3,"Yes","0.02439621,0.04022191,0.1695492"
"Zm00001eb192680",0.03306254,1,"No","0.03306254"
"Zm00001eb214850",0.0333109431411902,6,"Yes","0.6906156,0.83931,0.00241278,0.1251503,0.5134508,0.5512756"
"Zm00001eb124420",0.0342848391330346,6,"Yes","0.683588,0.1434449,0.06027427,0.002597109,0.8717339,0.9319228"
"Zm00001eb411740",0.03431947,1,"No","0.03431947"
"Zm00001eb362670",0.03444371,1,"No","0.03444371"
"Zm00001eb170650",0.0344478418930794,31,"Yes","0.2768241,0.01093833,0.03872556,0.02335434,0.08154662,0.3913531,0.03922076,0.6723652,0.3918558,0.1553662,0.9945317,0.03645226,0.9893919,0.6341618,0.5703777,0.05974091,0.8926512,0.8045515,0.4553615,0.3801114,0.6649489,0.9172815,0.7699866,0.06458315,0.01952543,0.5898067,0.131348,0.7368877,0.5515119,0.8403845,0.2874"
"Zm00001eb394760",0.0345421204059853,2,"Yes","0.3035828,0.02074367"
"Zm00001eb099240",0.035013084839512,3,"Yes","0.06923765,0.0649373,0.1183693"
"Zm00001eb211960",0.0356495076380432,9,"Yes","0.4180077,0.9914691,0.05540842,0.9133118,0.7003706,0.03664468,0.6727803,0.05151391,0.06053837"
"Zm00001eb156710",0.0359234907116976,3,"Yes","0.6056003,0.2369528,0.006756841"
"Zm00001eb416630",0.03601919,1,"No","0.03601919"
"Zm00001eb172010",0.0362565616362561,2,"Yes","0.01954946,0.1397344"
"Zm00001eb200030",0.03635214,1,"No","0.03635214"
"Zm00001eb146230",0.03661119,1,"No","0.03661119"
"Zm00001eb119590",0.0367445085866147,2,"Yes","0.01887757,0.4632431"
"Zm00001eb107220",0.0371039686837,3,"Yes","0.2888172,0.03647405,0.05798619"
"Zm00001eb351780",0.0383305382592025,2,"Yes","0.01935645,0.8061988"
"Zm00001eb390800",0.03855898,1,"No","0.03855898"
"Zm00001eb343830",0.03860749,1,"No","0.03860749"
"Zm00001eb072810",0.03908954,1,"No","0.03908954"
"Zm00001eb398160",0.0391143697610822,5,"Yes","0.8428618,0.5253396,0.02086177,0.1732271,0.03918671"
"Zm00001eb070230",0.0392089283727458,3,"Yes","0.0261718,0.0794939,0.7016037"
"Zm00001eb021020",0.03955936,1,"No","0.03955936"
"Zm00001eb009480",0.03977544,1,"No","0.03977544"
"Zm00001eb308130",0.0400808955018951,3,"Yes","0.8727818,0.01698707,0.04175161"
"Zm00001eb250370",0.04061591,1,"No","0.04061591"
"Zm00001eb060160",0.04067836,1,"No","0.04067836"
"Zm00001eb373760",0.0407203438384928,2,"Yes","0.02065279,0.1599542"
"Zm00001eb023330",0.0431370685229492,2,"Yes","0.5309574,0.02198752"
"Zm00001eb051860",0.04321126,1,"No","0.04321126"
"Zm00001eb283800",0.04345429,1,"No","0.04345429"
"Zm00001eb254800",0.0435495329123596,2,"Yes","0.02208508,0.5612964"
"Zm00001eb176890",0.0435805823954099,2,"Yes","0.02328745,0.08874846"
"Zm00001eb155980",0.0440005516293701,3,"Yes","0.01933304,0.08308084,0.3320567"
"Zm00001eb431960",0.04414935,1,"No","0.04414935"
"Zm00001eb004420",0.04437154,1,"No","0.04437154"
"Zm00001eb351010",0.044622997950991,2,"Yes","0.6773692,0.02260626"
"Zm00001eb139290",0.04523503,1,"No","0.04523503"
"Zm00001eb113260",0.04526379,1,"No","0.04526379"
"Zm00001eb304160",0.04532683,1,"No","0.04532683"
"Zm00001eb304170",0.04532683,1,"No","0.04532683"
"Zm00001eb190180",0.04544458,1,"No","0.04544458"
"Zm00001eb320660",0.0455163021487776,2,"Yes","0.4419436,0.02309156"
"Zm00001eb004360",0.04569954,1,"No","0.04569954"
"Zm00001eb372730",0.0459558903633212,2,"Yes","0.1966033,0.02326656"
"Zm00001eb387220",0.046040753835299,4,"Yes","0.02624145,0.04500709,0.1131227,0.5579373"
"Zm00001eb130250",0.04611197,1,"No","0.04611197"
"Zm00001eb364310",0.0464457997759062,8,"Yes","0.8398555,0.2301432,0.05405473,0.7478434,0.2010969,0.7192707,0.007840661,0.02770414"
"Zm00001eb250590",0.0466982441864605,2,"Yes","0.6614614,0.02390569"
"Zm00001eb190440",0.0473046730900754,6,"Yes","0.2290514,0.03095217,0.01147372,0.3229369,0.2598317,0.6141999"
"Zm00001eb366830",0.0474692635886188,2,"Yes","0.4377203,0.02402336"
"Zm00001eb096920",0.0474827268340677,8,"Yes","0.5842661,0.06082202,0.6972516,0.2119491,0.04468965,0.4005246,0.09307762,0.07914607"
"Zm00001eb388330",0.04754088,1,"No","0.04754088"
"Zm00001eb041630",0.0477225225904364,2,"Yes","0.1102407,0.02650656"
"Zm00001eb147290",0.04802725,1,"No","0.04802725"
"Zm00001eb343070",0.04834408,1,"No","0.04834408"
"Zm00001eb252860",0.0483463251530618,4,"Yes","0.307393,0.008656023,0.24134,0.1080885"
"Zm00001eb426540",0.0484111,1,"No","0.0484111"
"Zm00001eb391500",0.0487000244693045,6,"Yes","0.2071802,0.6383845,0.01304455,0.01885177,0.06462604,0.2934129"
"Zm00001eb391510",0.0487000244693045,6,"Yes","0.2071802,0.6383845,0.01304455,0.01885177,0.06462604,0.2934129"
"Zm00001eb343840",0.04887685,1,"No","0.04887685"
"Zm00001eb248730",0.04901088,1,"No","0.04901088"
"Zm00001eb130190",0.0491576698132072,6,"Yes","0.6929579,0.7680221,0.7032485,0.9883727,0.1671902,0.004303777"
"Zm00001eb322910",0.049282276170696,2,"Yes","0.02506989,0.06224438"
"Zm00001eb289910",0.04936641,1,"No","0.04936641"
"Zm00001eb217240",0.04937461,1,"No","0.04937461"
"Zm00001eb110260",0.04970166,1,"No","0.04970166"
"Zm00001eb057440",0.0498774085965981,2,"Yes","0.1293112,0.0323473"
"Zm00001eb173350",0.0499191556834765,9,"Yes","0.3599574,0.3834636,0.4762143,0.3986157,0.3299489,0.01053197,0.01072063,0.8814198,0.5211188"
"Zm00001eb076530",0.0501291822615469,2,"Yes","0.0255464,0.8084006"
"Zm00001eb004290",0.0509018545381923,2,"Yes","0.02578401,0.1382033"
"Zm00001eb376480",0.0509753853532624,2,"Yes","0.02593222,0.1032845"
"Zm00001eb202790",0.05132686,1,"No","0.05132686"
"Zm00001eb040830",0.0516027850353775,2,"Yes","0.02615115,0.8255465"
"Zm00001eb417810",0.0516340823175456,5,"Yes","0.9762452,0.3998969,0.6666967,0.4166719,0.004515288"
"Zm00001eb431670",0.0517817910963199,2,"Yes","0.026539,0.7893481"
"Zm00001eb079270",0.0518363684943853,5,"Yes","0.09405449,0.1196581,0.01901634,0.02385497,0.2725222"
"Zm00001eb205430",0.0522402664974909,9,"Yes","0.6578458,0.1772506,0.8192338,0.04821291,0.09889168,0.4477284,0.05663996,0.07644642,0.8853906"
"Zm00001eb215220",0.0526489902911832,3,"Yes","0.07475444,0.07943001,0.124857"
"Zm00001eb144980",0.0529105811603596,4,"Yes","0.00773268,0.0772567,0.2843337,0.5991702"
"Zm00001eb070730",0.0531250256208168,18,"Yes","0.1060063,0.5211362,0.87533,0.3091196,0.4223315,0.001134303,0.3019049,0.8951211,0.1237,0.01966661,0.03248835,0.01800915,0.3900573,0.8690783,0.6958817,0.6682024,0.8116375,0.6716292"
"Zm00001eb029710",0.0533638054658579,4,"Yes","0.1120629,0.04553792,0.1000025,0.06329005"
"Zm00001eb392220",0.0537857005560399,2,"Yes","0.02729916,0.7807598"
"Zm00001eb042130",0.0539083874036406,4,"Yes","0.008017378,0.1588157,0.3197575,0.7425825"
"Zm00001eb008180",0.05449661,1,"No","0.05449661"
"Zm00001eb229550",0.0546155327995181,3,"Yes","0.01956342,0.6079176,0.05880212"
"Zm00001eb287640",0.0550638430127234,8,"Yes","0.9481564,0.07151247,0.0561621,0.2364409,0.04603819,0.6533765,0.1561023,0.1788124"
"Zm00001eb078780",0.05513282,1,"No","0.05513282"
"Zm00001eb035750",0.0555595193220354,3,"Yes","0.01138655,0.1267337,0.7517759"
"Zm00001eb031350",0.05585801,1,"No","0.05585801"
"Zm00001eb104960",0.0561434101249321,2,"Yes","0.02857938,0.1742289"
"Zm00001eb226820",0.05620034,1,"No","0.05620034"
"Zm00001eb366490",0.0562927121141843,2,"Yes","0.0285975,0.8745059"
"Zm00001eb007330",0.0565366441140907,4,"Yes","0.1191678,0.05195033,0.05397887,0.6168229"
"Zm00001eb015210",0.0567523679171,2,"Yes","0.03222929,0.1567487"
"Zm00001eb115300",0.0574465,1,"No","0.0574465"
"Zm00001eb204370",0.0576267451691811,2,"Yes","0.7260804,0.02977329"
"Zm00001eb170710",0.05766593,1,"No","0.05766593"
"Zm00001eb337870",0.05771735,1,"No","0.05771735"
"Zm00001eb134000",0.05777225,1,"No","0.05777225"
"Zm00001eb054980",0.0586216709629099,3,"Yes","0.2721145,0.03140636,0.1060613"
"Zm00001eb104350",0.0595442899258675,6,"Yes","0.2378409,0.6911556,0.1118057,0.08655557,0.8090951,0.03939934"
"Zm00001eb282350",0.05960729,1,"No","0.05960729"
"Zm00001eb395120",0.05973545,1,"No","0.05973545"
"Zm00001eb119910",0.0599648311411968,4,"Yes","0.1977609,0.4120986,0.4283572,0.008803061"
"Zm00001eb073880",0.0602552009802324,5,"Yes","0.3901112,0.332465,0.5454066,0.8693672,0.005295031"
"Zm00001eb077400",0.06030915984332,4,"Yes","0.1120776,0.03258321,0.4328399,0.0582934"
"Zm00001eb151220",0.0608877640400863,2,"Yes","0.3909103,0.03092854"
"Zm00001eb271860",0.0613266860110853,3,"Yes","0.01328603,0.5177587,0.3418989"
"Zm00001eb387110",0.06144429,1,"No","0.06144429"
"Zm00001eb041250",0.0616055833274808,3,"Yes","0.7177548,0.01151307,0.9805938"
"Zm00001eb188920",0.06161576,1,"No","0.06161576"
"Zm00001eb113880",0.06216116,1,"No","0.06216116"
"Zm00001eb210620",0.06217327,1,"No","0.06217327"
"Zm00001eb185410",0.06242345,1,"No","0.06242345"
"Zm00001eb396750",0.0625801245075734,5,"Yes","0.8725328,0.00557149,0.5744122,0.7121948,0.9254352"
"Zm00001eb412880",0.06331581,1,"No","0.06331581"
"Zm00001eb351250",0.0633238116650863,2,"Yes","0.08905293,0.0401296"
"Zm00001eb408070",0.0633661493846233,5,"Yes","0.7323735,0.1516846,0.03938988,0.3005281,0.006791591"
"Zm00001eb039660",0.0634265081465968,3,"Yes","0.01173492,0.5434186,0.891663"
"Zm00001eb150680",0.06441933,1,"No","0.06441933"
